Species,Species_2,Specimen,Cranial_capacity,Age_in_MA,Age_in_MA_rounded,date2,Source,,notes
H_antecessor,H_antecessor,Atapuerca 5,1125,.53-.6,0.565,565000,Schoenemann 2013,,
H_antecessor,H_antecessor,Atapuerca 6,1140,.53-.6,0.565,565000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Arago 21,1166,0.4,0.4,400000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Biache,1200,.16-.19,0.175,175000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Bodo,1250,0.6,0.6,600000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Ceprano,1165,0.8,0.8,800000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Dali 1,1120,0.209,0.209,209000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Ehringsdorf,1450,0.23,0.23,230000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Jinniushan,1390,0.28,0.28,280000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Kabwe (Broken Hill ),1325,0.18,0.18,180000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Le Lazaret,1250,0.13,0.13,130000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Ndutu,1100,0.4,0.4,400000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Petralona,1230,0.21,0.21,210000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Reilingen,1430,0.2,0.2,200000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Saldanha (Elandsfontein),1225,0.5,0.5,500000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Sale,880,0.4,0.4,400000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Steinheim,1200,0.225,0.225,225000,Schoenemann 2013,,
H_heidelbergensis,H_heidelbergensis,Swanscombe,1325,0.25,0.25,250000,Schoenemann 2013,,
Neandertal,Neandertal,Amud 1,1740,0.041,0.041,41000,Schoenemann 2013,,
Neandertal,Neandertal,Feldhofer,1525,0.04,0.04,40000,Schoenemann 2013,,date is questionable
Neandertal,Neandertal,Ganovce,1320,0.09,0.09,90000,Schoenemann 2013,,
Neandertal,Neandertal,Gibraltar (Forbe's Quarry),1200,0.05,0.05,50000,Schoenemann 2013,,
Neandertal,Neandertal,Krapina 3 (Cranium C),1255,0.13,0.13,130000,Schoenemann 2013,,
Neandertal,Neandertal,Krapina 6 (Cranium E),1205,0.13,0.13,130000,Schoenemann 2013,,
Neandertal,Neandertal,Krapina B,1450,0.13,0.13,130000,Schoenemann 2013,,
Neandertal,Neandertal,La Chapelle aux Saints,1625,0.05,0.05,50000,Schoenemann 2013,,
Neandertal,Neandertal,a Ferrassie,1640,.06-.075,0.0675,67500,Schoenemann 2013,,
Neandertal,Neandertal,La Quina 5,1172,0.065,0.065,65000,Schoenemann 2013,,
Neandertal,Neandertal,Le Moustier,1565,0.041,0.041,41000,Schoenemann 2013,,
Neandertal,Neandertal,Monte Circco ( Guattari 1),1360,0.052,0.052,52000,Schoenemann 2013,,
Neandertal,Neandertal,Neanderthal,1525,0.04,0.04,40000,Schoenemann 2013,,
Neandertal,Neandertal,Saccopastore 1,1245,0.125,0.125,125000,Schoenemann 2013,,
Neandertal,Neandertal,Saccopastore 2,1300,0.125,0.125,125000,Schoenemann 2013,,
Neandertal,Neandertal,Shanidar 1,1600,0.06,0.06,60000,Schoenemann 2013,,
Neandertal,Neandertal,Shanidar 5,1550,0.06,0.06,60000,Schoenemann 2013,,
Neandertal,Neandertal,Skhul1,1450,0.1,0.1,100000,Schoenemann 2013,,
Neandertal,Neandertal,Skhul4,1554,0.1,0.1,100000,Schoenemann 2013,,
Neandertal,Neandertal,Skhul 5,1520,0.1,0.1,100000,Schoenemann 2013,,
Neandertal,Neandertal,Skhu l 9,1590,0.1,0.1,100000,Schoenemann 2013,,
Neandertal,Neandertal,Spy I,1305,0.068,0.068,68000,Schoenemann 2013,,
Neandertal,Neandertal,Spy II,1553,0.068,0.068,68000,Schoenemann 2013,,
Neandertal,Neandertal,Tabun 1,1271,.070-.080,0.075,75000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Abri Pataud 1,1380,0.022,0.022,22000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Arene Candide 1,1414,0.023,0.023,23000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Arene Candide 2,1424,0.023,0.023,23000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Arene Candide 4,1520,0.023,0.023,23000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Arene Candide 5,1661,0.023,0.023,23000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Border Cave,1510,0.07,0.07,70000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Brno I,1600,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Brno II,1500,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Brno III,1304,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Bruniquel 2,1555,NA,NA,NA,Schoenemann 2013,,no date?
Homo sapiens,Homo sapiens,Cap Blanc 1,1434,NA,NA,NA,Schoenemann 2013,,no date?
Homo sapiens,Homo sapiens,Chancelade,1530,0.012,0.012,12000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Combe Capelle,1570,0.028,0.028,28000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Coobol Creek,1444,0.012,0.012,12000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Cro-Magnon l,1730,0.03,0.03,30000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Cro-Magnon 3,1590,0.03,0.03,30000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Dolni Vestonice 3,1285,0.0275,0.0275,27500,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Dolni Vestonice 14,1538,0.0275,0.0275,27500,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Dolni Vestonice 18,1481,0.0275,0.0275,27500,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Dolni Vestonice 20,1547,0.0275,0.0275,27500,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Dolni Vestonice 21,1378,0.0275,0.0275,27500,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Grone des Infants 4,1775,0.028,0.028,28000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Grone des Infants 5,1375,0.028,0.028,28000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Grone des Infants 6,1580,0.028,0.028,28000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Keilor,1497,0.012,0.012,12000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,KNM-ES 11693 (Eliye,1300,.20-.30,0.25,250000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Kostenki 14,1222,NA,NA,NA,Schoenemann 2013,,no date?
Homo sapiens,Homo sapiens,Kostenki 2,1605,0.02,0.02,20000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Laetoli 18,1367,0.12,0.12,120000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Liujiang,1480,0.04,0.04,40000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Minatogawa 1,1390,0.018,0.018,18000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Minatogawa 2,1170,0.018,0.018,18000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Minatogawa 4,1090,0.018,0.018,18000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Mladec 1,1540,0.03,0.03,30000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Mladec 2,1390,0.03,0.03,30000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Mladec 5,1650,0.03,0.03,30000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Nazlet Khater 2,1420,0.037,0.037,37000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Obercassel 1,1500,0.012,0.012,12000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Obercassel 2,1370,0.012,0.012,12000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Omo 2 (Kibbish),1435,0.12,0.12,120000,Schoenemann 2013,,check date?
Homo sapiens,Homo sapiens,Pavlov 1,1472,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Predmosti 3,1580,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Predmosti 4,1250,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Predmosti 9,1555,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Predmosti 10,1452,0.026,0.026,26000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Qafzeh 6,1568,0.09,0.09,90000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Qafzeh 9,1531,0.09,0.09,90000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,San Teodoro 1,1565,0.011,0.011,11000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,San Teodoro 2,1569,0.011,0.011,11000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,San Teodoro 3,1560,0.011,0.011,11000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,San Teodoro 5,1484,0.011,0.011,11000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,San Teodoro 7,1500,0.011,0.011,11000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Singa 1,1550,0.133,0.133,133000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,St. Germain-la-Rivie,1354,0.015,0.015,15000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Sungir 1,1464,0.024,0.024,24000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Sungir 2,1267,0.024,0.024,24000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Sungir 3,1361,0.024,0.024,24000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Sungir 5,1453,0.024,0.024,24000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Veyrier 1,1430,0.01,0.01,10000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Wadjak 1,1539,0.015,0.015,15000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Wadjak 2,1650,0.015,0.015,15000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Willandra Lakes,1540,.018-.012,0.15,150000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Yinkou (Jinniushan),1390,0.13,0.13,130000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Zhoukoudian (Upper Cave) 1,1500,0.015,0.015,15000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Zhoukoudjan (Upper Cave) 2,1380,0.015,0.015,15000,Schoenemann 2013,,
Homo sapiens,Homo sapiens,Zhoukoudian (Upper Cave) 3,1290,0.015,0.015,15000,Schoenemann 2013,,
